TimeStamp;Cell;Direction;BSSID;SSID;Strength 
1,52062E+12;C12;D1;50:0f:80:c0:ce:2e;TUvisitor;-63
1,52062E+12;C12;D1;50:0f:80:e3:79:6e;TUvisitor;-55
1,52062E+12;C12;D1;38:90:a5:8c:93:ee;TUvisitor;-69
1,52062E+12;C12;D1;50:0f:80:e3:79:6d;tudelft-dastud;-55
1,52062E+12;C12;D1;50:0f:80:e3:79:6f;eduroam;-54
1,52062E+12;C12;D1;38:90:a5:8c:93:ef;eduroam;-69
1,52062E+12;C12;D1;50:0f:80:c0:ce:2f;eduroam;-65
1,52062E+12;C12;D1;50:0f:80:c0:ce:2d;tudelft-dastud;-64
1,52062E+12;C12;D1;50:0f:80:c0:ce:2e;TUvisitor;-65
1,52062E+12;C12;D1;50:0f:80:e3:79:6e;TUvisitor;-54
1,52062E+12;C12;D1;50:0f:80:fd:84:4e;TUvisitor;-82
1,52062E+12;C12;D1;38:90:a5:8c:93:ee;TUvisitor;-68
1,52062E+12;C12;D1;50:0f:80:e3:79:6d;tudelft-dastud;-54
1,52062E+12;C12;D1;50:0f:80:e3:79:6f;eduroam;-54
1,52062E+12;C12;D1;38:90:a5:8c:93:ef;eduroam;-68
1,52062E+12;C12;D1;50:0f:80:c0:ce:2f;eduroam;-64
1,52062E+12;C12;D1;50:0f:80:fd:84:4f;eduroam;-81
1,52062E+12;C12;D1;50:0f:80:c0:ce:2d;tudelft-dastud;-63
1,52062E+12;C12;D1;50:0f:80:c0:ce:2e;TUvisitor;-64
1,52062E+12;C12;D1;50:0f:80:e3:79:6e;TUvisitor;-53
1,52062E+12;C12;D1;50:0f:80:fd:84:4e;TUvisitor;-81
1,52062E+12;C12;D1;38:90:a5:8c:93:ee;TUvisitor;-72
1,52062E+12;C12;D1;50:0f:80:e3:79:6d;tudelft-dastud;-54
1,52062E+12;C12;D1;50:0f:80:e3:79:6f;eduroam;-54
1,52062E+12;C12;D1;38:90:a5:8c:93:ef;eduroam;-72
1,52062E+12;C12;D1;50:0f:80:c0:ce:2f;eduroam;-64
1,52062E+12;C12;D1;50:0f:80:fd:84:4f;eduroam;-81
1,52062E+12;C12;D1;50:0f:80:c0:ce:2d;tudelft-dastud;-65
1,52062E+12;C12;D1;50:0f:80:c0:ce:2e;TUvisitor;-63
1,52062E+12;C12;D1;50:0f:80:e3:79:6e;TUvisitor;-68
1,52062E+12;C12;D1;50:0f:80:fd:84:4e;TUvisitor;-81
1,52062E+12;C12;D1;38:90:a5:8c:93:ee;TUvisitor;-69
1,52062E+12;C12;D1;50:0f:80:e3:79:6d;tudelft-dastud;-56
1,52062E+12;C12;D1;50:0f:80:e3:79:6f;eduroam;-56
1,52062E+12;C12;D1;38:90:a5:8c:93:ef;eduroam;-70
1,52062E+12;C12;D1;50:0f:80:c0:ce:2f;eduroam;-62
1,52062E+12;C12;D1;50:0f:80:fd:84:4f;eduroam;-81
1,52062E+12;C12;D1;50:0f:80:c0:ce:2d;tudelft-dastud;-63
1,52062E+12;C12;D1;50:0f:80:c0:ce:2e;TUvisitor;-62
1,52062E+12;C12;D1;50:0f:80:e3:79:6e;TUvisitor;-56
1,52062E+12;C12;D1;50:0f:80:fd:84:4e;TUvisitor;-83
1,52062E+12;C12;D1;38:90:a5:8c:93:ee;TUvisitor;-71
1,52062E+12;C12;D1;50:0f:80:e3:79:6d;tudelft-dastud;-57
1,52062E+12;C12;D1;50:0f:80:e3:79:6f;eduroam;-56
1,52062E+12;C12;D1;38:90:a5:8c:93:ef;eduroam;-70
1,52062E+12;C12;D1;50:0f:80:c0:ce:2f;eduroam;-64
1,52062E+12;C12;D1;50:0f:80:fd:84:4f;eduroam;-83
1,52062E+12;C12;D1;50:0f:80:c0:ce:2d;tudelft-dastud;-61
1,52062E+12;C12;D1;50:0f:80:c0:ce:2e;TUvisitor;-65
1,52062E+12;C12;D1;50:0f:80:e3:79:6e;TUvisitor;-54
1,52062E+12;C12;D1;50:0f:80:fd:84:4e;TUvisitor;-82
1,52062E+12;C12;D1;38:90:a5:8c:93:ee;TUvisitor;-68
1,52062E+12;C12;D1;50:0f:80:e3:79:6d;tudelft-dastud;-54
1,52062E+12;C12;D1;50:0f:80:e3:79:6f;eduroam;-61
1,52062E+12;C12;D1;38:90:a5:8c:93:ef;eduroam;-68
1,52062E+12;C12;D1;50:0f:80:c0:ce:2f;eduroam;-64
1,52062E+12;C12;D1;50:0f:80:fd:84:4f;eduroam;-82
1,52062E+12;C12;D1;50:0f:80:c0:ce:2d;tudelft-dastud;-64
1,52062E+12;C12;D1;50:0f:80:c0:ce:2e;TUvisitor;-59
1,52062E+12;C12;D1;38:90:a5:8c:93:ef;eduroam;-87
1,52062E+12;C12;D1;50:0f:80:c0:ce:2f;eduroam;-60
1,52062E+12;C12;D1;50:0f:80:fd:84:4f;eduroam;-73
1,52062E+12;C12;D1;50:0f:80:e3:79:6e;TUvisitor;-82
1,52062E+12;C12;D1;50:0f:80:fd:84:4e;TUvisitor;-74
1,52062E+12;C12;D1;50:0f:80:c0:ce:2d;tudelft-dastud;-58
1,52062E+12;C12;D1;50:0f:80:c0:ce:2e;TUvisitor;-61
1,52062E+12;C12;D1;50:0f:80:e3:79:6e;TUvisitor;-55
1,52062E+12;C12;D1;38:90:a5:8c:93:ee;TUvisitor;-71
1,52062E+12;C12;D1;50:0f:80:e3:79:6d;tudelft-dastud;-55
1,52062E+12;C12;D1;50:0f:80:e3:79:6f;eduroam;-55
1,52062E+12;C12;D1;38:90:a5:8c:93:ef;eduroam;-71
1,52062E+12;C12;D1;50:0f:80:c0:ce:2f;eduroam;-64
1,52062E+12;C12;D1;50:0f:80:fd:84:4f;eduroam;-86
1,52062E+12;C12;D1;50:0f:80:c0:ce:2d;tudelft-dastud;-61
1,52062E+12;C12;D1;50:0f:80:c0:ce:2e;TUvisitor;-62
1,52062E+12;C12;D1;50:0f:80:e3:79:6e;TUvisitor;-56
1,52062E+12;C12;D1;50:0f:80:fd:84:4e;TUvisitor;-81
1,52062E+12;C12;D1;38:90:a5:8c:93:ee;TUvisitor;-69
1,52062E+12;C12;D1;50:0f:80:e3:79:6d;tudelft-dastud;-57
1,52062E+12;C12;D1;50:0f:80:e3:79:6f;eduroam;-56
1,52062E+12;C12;D1;38:90:a5:8c:93:ef;eduroam;-72
1,52062E+12;C12;D1;50:0f:80:c0:ce:2f;eduroam;-64
1,52062E+12;C12;D1;50:0f:80:fd:84:4f;eduroam;-81
1,52062E+12;C12;D1;50:0f:80:c0:ce:2d;tudelft-dastud;-63
1,52062E+12;C12;D1;50:0f:80:e3:79:6e;TUvisitor;-54
1,52062E+12;C12;D1;50:0f:80:fd:84:4e;TUvisitor;-82
1,52062E+12;C12;D1;38:90:a5:8c:93:ee;TUvisitor;-69
1,52062E+12;C12;D1;50:0f:80:e3:79:6d;tudelft-dastud;-54
1,52062E+12;C12;D1;50:0f:80:e3:79:6f;eduroam;-54
1,52062E+12;C12;D1;38:90:a5:8c:93:ef;eduroam;-67
1,52062E+12;C12;D1;50:0f:80:c0:ce:2f;eduroam;-64
1,52062E+12;C12;D1;50:0f:80:fd:84:4f;eduroam;-82
1,52062E+12;C12;D1;50:0f:80:c0:ce:2e;TUvisitor;-63
1,52062E+12;C12;D1;50:0f:80:e3:79:6e;TUvisitor;-57
1,52062E+12;C12;D1;50:0f:80:fd:84:4e;TUvisitor;-85
1,52062E+12;C12;D1;38:90:a5:8c:93:ee;TUvisitor;-72
1,52062E+12;C12;D1;50:0f:80:e3:79:6d;tudelft-dastud;-57
1,52062E+12;C12;D1;50:0f:80:e3:79:6f;eduroam;-57
1,52062E+12;C12;D1;38:90:a5:8c:93:ef;eduroam;-71
1,52062E+12;C12;D1;50:0f:80:c0:ce:2f;eduroam;-64
1,52062E+12;C12;D1;50:0f:80:fd:84:4f;eduroam;-84
1,52062E+12;C12;D1;50:0f:80:c0:ce:2d;tudelft-dastud;-63
1,52062E+12;C12;D1;50:0f:80:c0:ce:2e;TUvisitor;-64
1,52062E+12;C12;D1;50:0f:80:e3:79:6e;TUvisitor;-56
1,52062E+12;C12;D1;50:0f:80:fd:84:4e;TUvisitor;-83
1,52062E+12;C12;D1;38:90:a5:8c:93:ee;TUvisitor;-71
1,52062E+12;C12;D1;50:0f:80:e3:79:6d;tudelft-dastud;-57
1,52062E+12;C12;D1;50:0f:80:e3:79:6f;eduroam;-57
1,52062E+12;C12;D1;38:90:a5:8c:93:ef;eduroam;-72
1,52062E+12;C12;D1;50:0f:80:c0:ce:2f;eduroam;-64
1,52062E+12;C12;D1;50:0f:80:fd:84:4f;eduroam;-84
1,52062E+12;C12;D1;50:0f:80:c0:ce:2d;tudelft-dastud;-63
1,52062E+12;C12;D1;50:0f:80:c0:ce:2e;TUvisitor;-67
1,52062E+12;C12;D1;50:0f:80:e3:79:6e;TUvisitor;-57
1,52062E+12;C12;D1;50:0f:80:fd:84:4e;TUvisitor;-83
1,52062E+12;C12;D1;38:90:a5:8c:93:ee;TUvisitor;-69
1,52062E+12;C12;D1;50:0f:80:e3:79:6d;tudelft-dastud;-57
1,52062E+12;C12;D1;50:0f:80:e3:79:6f;eduroam;-58
1,52062E+12;C12;D1;38:90:a5:8c:93:ef;eduroam;-68
1,52062E+12;C12;D1;50:0f:80:c0:ce:2f;eduroam;-69
1,52062E+12;C12;D1;50:0f:80:fd:84:4f;eduroam;-82
1,52062E+12;C12;D1;50:0f:80:c0:ce:2d;tudelft-dastud;-67
1,52062E+12;C12;D1;50:0f:80:c0:ce:2e;TUvisitor;-64
1,52062E+12;C12;D1;50:0f:80:e3:79:6e;TUvisitor;-57
1,52062E+12;C12;D1;50:0f:80:fd:84:4e;TUvisitor;-83
1,52062E+12;C12;D1;38:90:a5:8c:93:ee;TUvisitor;-71
1,52062E+12;C12;D1;50:0f:80:e3:79:6d;tudelft-dastud;-56
1,52062E+12;C12;D1;50:0f:80:e3:79:6f;eduroam;-57
1,52062E+12;C12;D1;38:90:a5:8c:93:ef;eduroam;-72
1,52062E+12;C12;D1;50:0f:80:c0:ce:2f;eduroam;-64
1,52062E+12;C12;D1;50:0f:80:fd:84:4f;eduroam;-83
1,52062E+12;C12;D1;50:0f:80:c0:ce:2d;tudelft-dastud;-65
1,52062E+12;C12;D1;50:0f:80:c0:ce:2e;TUvisitor;-62
1,52062E+12;C12;D1;50:0f:80:e3:79:6e;TUvisitor;-57
1,52062E+12;C12;D1;50:0f:80:fd:84:4e;TUvisitor;-85
1,52062E+12;C12;D1;38:90:a5:8c:93:ee;TUvisitor;-71
1,52062E+12;C12;D1;50:0f:80:e3:79:6d;tudelft-dastud;-56
1,52062E+12;C12;D1;50:0f:80:e3:79:6f;eduroam;-56
1,52062E+12;C12;D1;38:90:a5:8c:93:ef;eduroam;-71
1,52062E+12;C12;D1;50:0f:80:c0:ce:2f;eduroam;-64
1,52062E+12;C12;D1;50:0f:80:fd:84:4f;eduroam;-83
1,52062E+12;C12;D1;50:0f:80:c0:ce:2d;tudelft-dastud;-62
1,52062E+12;C12;D1;50:0f:80:c0:ce:2e;TUvisitor;-64
1,52062E+12;C12;D1;50:0f:80:e3:79:6e;TUvisitor;-57
1,52062E+12;C12;D1;50:0f:80:fd:84:4e;TUvisitor;-83
1,52062E+12;C12;D1;38:90:a5:8c:93:ee;TUvisitor;-72
1,52062E+12;C12;D1;50:0f:80:e3:79:6d;tudelft-dastud;-57
1,52062E+12;C12;D1;50:0f:80:e3:79:6f;eduroam;-67
1,52062E+12;C12;D1;38:90:a5:8c:93:ef;eduroam;-72
1,52062E+12;C12;D1;50:0f:80:c0:ce:2f;eduroam;-64
1,52062E+12;C12;D1;50:0f:80:fd:84:4f;eduroam;-83
1,52062E+12;C12;D1;50:0f:80:c0:ce:2d;tudelft-dastud;-73
1,52062E+12;C12;D1;38:90:a5:8c:93:ee;TUvisitor;-70
1,52062E+12;C12;D1;50:0f:80:e3:79:6d;tudelft-dastud;-57
1,52062E+12;C12;D1;50:0f:80:e3:79:6f;eduroam;-57
1,52062E+12;C12;D1;50:0f:80:c0:ce:2e;TUvisitor;-64
1,52062E+12;C12;D1;38:90:a5:8c:93:ef;eduroam;-70
1,52062E+12;C12;D1;50:0f:80:c0:ce:2f;eduroam;-64
1,52062E+12;C12;D1;50:0f:80:fd:84:4f;eduroam;-83
1,52062E+12;C12;D1;50:0f:80:e3:79:6e;TUvisitor;-56
1,52062E+12;C12;D1;50:0f:80:c0:ce:2d;tudelft-dastud;-64
1,52062E+12;C12;D1;50:0f:80:c0:ce:2e;TUvisitor;-64
1,52062E+12;C12;D1;50:0f:80:e3:79:6e;TUvisitor;-57
1,52062E+12;C12;D1;50:0f:80:fd:84:4e;TUvisitor;-84
1,52062E+12;C12;D1;38:90:a5:8c:93:ee;TUvisitor;-71
1,52062E+12;C12;D1;50:0f:80:e3:79:6d;tudelft-dastud;-57
1,52062E+12;C12;D1;50:0f:80:e3:79:6f;eduroam;-57
1,52062E+12;C12;D1;38:90:a5:8c:93:ef;eduroam;-71
1,52062E+12;C12;D1;50:0f:80:c0:ce:2f;eduroam;-65
1,52062E+12;C12;D1;50:0f:80:fd:84:4f;eduroam;-84
1,52062E+12;C12;D1;50:0f:80:c0:ce:2d;tudelft-dastud;-64
1,52062E+12;C12;D1;50:0f:80:c0:ce:2e;TUvisitor;-84
1,52062E+12;C12;D1;50:0f:80:e3:79:6e;TUvisitor;-59
1,52062E+12;C12;D1;50:0f:80:fd:84:4e;TUvisitor;-81
1,52062E+12;C12;D1;38:90:a5:8c:93:ee;TUvisitor;-70
1,52062E+12;C12;D1;50:0f:80:e3:79:6d;tudelft-dastud;-57
1,52062E+12;C12;D1;50:0f:80:e3:79:6f;eduroam;-58
1,52062E+12;C12;D1;38:90:a5:8c:93:ef;eduroam;-70
1,52062E+12;C12;D1;50:0f:80:c0:ce:2f;eduroam;-63
1,52062E+12;C12;D1;50:0f:80:fd:84:4f;eduroam;-81
1,52062E+12;C12;D1;50:0f:80:c0:ce:2d;tudelft-dastud;-63
1,52062E+12;C12;D1;50:0f:80:c0:ce:2e;TUvisitor;-63
1,52062E+12;C12;D1;50:0f:80:e3:79:6e;TUvisitor;-55
1,52062E+12;C12;D1;50:0f:80:fd:84:4e;TUvisitor;-83
1,52062E+12;C12;D1;38:90:a5:8c:93:ee;TUvisitor;-71
1,52062E+12;C12;D1;50:0f:80:e3:79:6d;tudelft-dastud;-56
1,52062E+12;C12;D1;50:0f:80:e3:79:6f;eduroam;-55
1,52062E+12;C12;D1;38:90:a5:8c:93:ef;eduroam;-70
1,52062E+12;C12;D1;50:0f:80:c0:ce:2f;eduroam;-63
1,52062E+12;C12;D1;50:0f:80:fd:84:4f;eduroam;-83
1,52062E+12;C12;D1;50:0f:80:c0:ce:2d;tudelft-dastud;-64
1,52062E+12;C12;D1;50:0f:80:c0:ce:2e;TUvisitor;-64
1,52062E+12;C12;D1;50:0f:80:fd:84:4e;TUvisitor;-70
1,52062E+12;C12;D1;38:90:a5:8c:93:ee;TUvisitor;-87
1,52062E+12;C12;D1;50:0f:80:c0:ce:2f;eduroam;-59
1,52062E+12;C12;D1;50:0f:80:fd:84:4f;eduroam;-71
1,52062E+12;C12;D1;50:0f:80:c0:ce:2d;tudelft-dastud;-63
1,52062E+12;C12;D1;50:0f:80:c0:ce:2e;TUvisitor;-70
1,52062E+12;C12;D1;50:0f:80:e3:79:6e;TUvisitor;-59
1,52062E+12;C12;D1;50:0f:80:fd:84:4e;TUvisitor;-85
1,52062E+12;C12;D1;38:90:a5:8c:93:ee;TUvisitor;-72
1,52062E+12;C12;D1;50:0f:80:e3:79:6d;tudelft-dastud;-59
1,52062E+12;C12;D1;50:0f:80:e3:79:6f;eduroam;-59
1,52062E+12;C12;D1;38:90:a5:8c:93:ef;eduroam;-72
1,52062E+12;C12;D1;50:0f:80:c0:ce:2f;eduroam;-64
1,52062E+12;C12;D1;50:0f:80:fd:84:4f;eduroam;-83
1,52062E+12;C12;D1;50:0f:80:c0:ce:2d;tudelft-dastud;-64
1,52062E+12;C12;D1;38:90:a5:8c:93:ee;TUvisitor;-71
1,52062E+12;C12;D1;50:0f:80:e3:79:6d;tudelft-dastud;-59
1,52062E+12;C12;D1;50:0f:80:e3:79:6f;eduroam;-60
1,52062E+12;C12;D1;50:0f:80:c0:ce:2e;TUvisitor;-67
1,52062E+12;C12;D1;38:90:a5:8c:93:ef;eduroam;-72
1,52062E+12;C12;D1;50:0f:80:c0:ce:2f;eduroam;-66
1,52062E+12;C12;D1;50:0f:80:fd:84:4f;eduroam;-84
1,52062E+12;C12;D1;50:0f:80:e3:79:6e;TUvisitor;-59
1,52062E+12;C12;D1;50:0f:80:fd:84:4e;TUvisitor;-84
1,52062E+12;C12;D1;50:0f:80:c0:ce:2d;tudelft-dastud;-66
1,52062E+12;C12;D1;50:0f:80:c0:ce:2e;TUvisitor;-67
1,52062E+12;C12;D1;50:0f:80:e3:79:6e;TUvisitor;-58
1,52062E+12;C12;D1;50:0f:80:fd:84:4e;TUvisitor;-81
1,52062E+12;C12;D1;38:90:a5:8c:93:ee;TUvisitor;-72
1,52062E+12;C12;D1;50:0f:80:e3:79:6d;tudelft-dastud;-58
1,52062E+12;C12;D1;50:0f:80:e3:79:6f;eduroam;-57
1,52062E+12;C12;D1;38:90:a5:8c:93:ef;eduroam;-71
1,52062E+12;C12;D1;50:0f:80:c0:ce:2f;eduroam;-66
1,52062E+12;C12;D1;50:0f:80:fd:84:4f;eduroam;-82
1,52062E+12;C12;D1;50:0f:80:c0:ce:2d;tudelft-dastud;-66
1,52062E+12;C12;D1;50:0f:80:c0:ce:2e;TUvisitor;-66
1,52062E+12;C12;D1;50:0f:80:e3:79:6e;TUvisitor;-57
1,52062E+12;C12;D1;50:0f:80:fd:84:4e;TUvisitor;-83
1,52062E+12;C12;D1;38:90:a5:8c:93:ee;TUvisitor;-72
1,52062E+12;C12;D1;50:0f:80:e3:79:6d;tudelft-dastud;-56
1,52062E+12;C12;D1;50:0f:80:e3:79:6f;eduroam;-57
1,52062E+12;C12;D1;38:90:a5:8c:93:ef;eduroam;-72
1,52062E+12;C12;D1;50:0f:80:c0:ce:2f;eduroam;-66
1,52062E+12;C12;D1;50:0f:80:fd:84:4f;eduroam;-82
1,52062E+12;C12;D1;50:0f:80:c0:ce:2d;tudelft-dastud;-65
1,52062E+12;C12;D1;50:0f:80:c0:ce:2e;TUvisitor;-64
1,52062E+12;C12;D1;50:0f:80:fd:84:4e;TUvisitor;-70
1,52062E+12;C12;D1;38:90:a5:8c:93:ee;TUvisitor;-87
1,52062E+12;C12;D1;50:0f:80:c0:ce:2f;eduroam;-59
1,52062E+12;C12;D1;50:0f:80:fd:84:4f;eduroam;-71
1,52062E+12;C12;D1;50:0f:80:c0:ce:2d;tudelft-dastud;-63
1,52062E+12;C12;D1;50:0f:80:c0:ce:2e;TUvisitor;-65
1,52062E+12;C12;D1;50:0f:80:e3:79:6e;TUvisitor;-59
1,52062E+12;C12;D1;50:0f:80:fd:84:4e;TUvisitor;-82
1,52062E+12;C12;D1;38:90:a5:8c:93:ee;TUvisitor;-73
1,52062E+12;C12;D1;50:0f:80:e3:79:6d;tudelft-dastud;-60
1,52062E+12;C12;D1;50:0f:80:e3:79:6f;eduroam;-60
1,52062E+12;C12;D1;50:0f:80:c0:ce:2f;eduroam;-63
1,52062E+12;C12;D1;50:0f:80:fd:84:4f;eduroam;-82
1,52062E+12;C12;D1;50:0f:80:c0:ce:2d;tudelft-dastud;-65
1,52062E+12;C12;D1;50:0f:80:c0:ce:2e;TUvisitor;-69
1,52062E+12;C12;D1;50:0f:80:e3:79:6e;TUvisitor;-59
1,52062E+12;C12;D1;50:0f:80:fd:84:4e;TUvisitor;-86
1,52062E+12;C12;D1;38:90:a5:8c:93:ee;TUvisitor;-74
1,52062E+12;C12;D1;50:0f:80:e3:79:6d;tudelft-dastud;-59
1,52062E+12;C12;D1;50:0f:80:e3:79:6f;eduroam;-59
1,52062E+12;C12;D1;38:90:a5:8c:93:ef;eduroam;-75
1,52062E+12;C12;D1;50:0f:80:c0:ce:2f;eduroam;-63
1,52062E+12;C12;D1;50:0f:80:c0:ce:2d;tudelft-dastud;-61
1,52062E+12;C12;D1;50:0f:80:c0:ce:2e;TUvisitor;-62
1,52062E+12;C12;D1;50:0f:80:e3:79:6e;TUvisitor;-62
1,52062E+12;C12;D1;50:0f:80:fd:84:4e;TUvisitor;-83
1,52062E+12;C12;D1;38:90:a5:8c:93:ee;TUvisitor;-71
1,52062E+12;C12;D1;50:0f:80:e3:79:6d;tudelft-dastud;-62
1,52062E+12;C12;D1;50:0f:80:e3:79:6f;eduroam;-61
1,52062E+12;C12;D1;38:90:a5:8c:93:ef;eduroam;-72
1,52062E+12;C12;D1;50:0f:80:c0:ce:2f;eduroam;-65
1,52062E+12;C12;D1;50:0f:80:fd:84:4f;eduroam;-82
1,52062E+12;C12;D1;50:0f:80:c0:ce:2d;tudelft-dastud;-63
1,52062E+12;C12;D1;50:0f:80:c0:ce:2e;TUvisitor;-63
1,52062E+12;C12;D1;50:0f:80:e3:79:6e;TUvisitor;-59
1,52062E+12;C12;D1;50:0f:80:fd:84:4e;TUvisitor;-84
1,52062E+12;C12;D1;38:90:a5:8c:93:ee;TUvisitor;-73
1,52062E+12;C12;D1;50:0f:80:e3:79:6d;tudelft-dastud;-58
1,52062E+12;C12;D1;50:0f:80:e3:79:6f;eduroam;-59
1,52062E+12;C12;D1;38:90:a5:8c:93:ef;eduroam;-73
1,52062E+12;C12;D1;50:0f:80:c0:ce:2f;eduroam;-65
1,52062E+12;C12;D1;50:0f:80:fd:84:4f;eduroam;-84
1,52062E+12;C12;D1;50:0f:80:c0:ce:2d;tudelft-dastud;-65
1,52061E+12;C12;D1;50:0f:80:c0:ce:2e;TUvisitor;-66
1,52061E+12;C12;D1;50:0f:80:e3:79:6e;TUvisitor;-58
1,52061E+12;C12;D1;50:0f:80:fd:84:4e;TUvisitor;-81
1,52061E+12;C12;D1;38:90:a5:8c:93:ee;TUvisitor;-75
1,52061E+12;C12;D1;50:0f:80:e3:79:6d;tudelft-dastud;-58
1,52061E+12;C12;D1;50:0f:80:e3:79:6f;eduroam;-58
1,52061E+12;C12;D1;38:90:a5:8c:93:ef;eduroam;-75
1,52061E+12;C12;D1;50:0f:80:c0:ce:2f;eduroam;-65
1,52061E+12;C12;D1;50:0f:80:fd:84:4f;eduroam;-80
1,52061E+12;C12;D1;50:0f:80:c0:ce:2d;tudelft-dastud;-65
1,52061E+12;C12;D1;38:90:a5:8c:93:ee;TUvisitor;-74
1,52061E+12;C12;D1;50:0f:80:e3:79:6d;tudelft-dastud;-58
1,52061E+12;C12;D1;50:0f:80:e3:79:6f;eduroam;-58
1,52061E+12;C12;D1;38:90:a5:8c:93:ef;eduroam;-75
1,52061E+12;C12;D1;50:0f:80:c0:ce:2f;eduroam;-65
1,52061E+12;C12;D1;50:0f:80:fd:84:4f;eduroam;-81
1,52061E+12;C12;D1;50:0f:80:e3:79:6e;TUvisitor;-60
1,52061E+12;C12;D1;50:0f:80:fd:84:4e;TUvisitor;-80
1,52061E+12;C12;D1;50:0f:80:c0:ce:2d;tudelft-dastud;-66
1,52061E+12;C12;D1;50:0f:80:c0:ce:2e;TUvisitor;-66
1,52061E+12;C12;D1;50:0f:80:e3:79:6e;TUvisitor;-57
1,52061E+12;C12;D1;50:0f:80:fd:84:4e;TUvisitor;-82
1,52061E+12;C12;D1;38:90:a5:8c:93:ee;TUvisitor;-73
1,52061E+12;C12;D1;50:0f:80:e3:79:6d;tudelft-dastud;-57
1,52061E+12;C12;D1;50:0f:80:e3:79:6f;eduroam;-57
1,52061E+12;C12;D1;38:90:a5:8c:93:ef;eduroam;-74
1,52061E+12;C12;D1;50:0f:80:c0:ce:2f;eduroam;-66
1,52061E+12;C12;D1;50:0f:80:fd:84:4f;eduroam;-81
1,52061E+12;C12;D1;50:0f:80:c0:ce:2d;tudelft-dastud;-67
1,52061E+12;C12;D1;50:0f:80:c0:ce:2e;TUvisitor;-65
1,52061E+12;C12;D1;50:0f:80:e3:79:6e;TUvisitor;-59
1,52061E+12;C12;D1;38:90:a5:8c:93:ee;TUvisitor;-76
1,52061E+12;C12;D1;50:0f:80:e3:79:6d;tudelft-dastud;-58
1,52061E+12;C12;D1;50:0f:80:e3:79:6f;eduroam;-59
1,52061E+12;C12;D1;38:90:a5:8c:93:ef;eduroam;-77
1,52061E+12;C12;D1;50:0f:80:c0:ce:2f;eduroam;-65
1,52061E+12;C12;D1;50:0f:80:fd:84:4f;eduroam;-83
1,52061E+12;C12;D1;50:0f:80:c0:ce:2d;tudelft-dastud;-65
1,52061E+12;C12;D1;50:0f:80:c0:ce:2e;TUvisitor;-66
1,52061E+12;C12;D1;50:0f:80:e3:79:6e;TUvisitor;-57
1,52061E+12;C12;D1;50:0f:80:fd:84:4e;TUvisitor;-81
1,52061E+12;C12;D1;38:90:a5:8c:93:ee;TUvisitor;-73
1,52061E+12;C12;D1;50:0f:80:e3:79:6d;tudelft-dastud;-57
1,52061E+12;C12;D1;50:0f:80:e3:79:6f;eduroam;-57
1,52061E+12;C12;D1;38:90:a5:8c:93:ef;eduroam;-74
1,52061E+12;C12;D1;50:0f:80:c0:ce:2f;eduroam;-66
1,52061E+12;C12;D1;50:0f:80:fd:84:4f;eduroam;-80
1,52061E+12;C12;D1;50:0f:80:c0:ce:2d;tudelft-dastud;-67
1,52061E+12;C12;D1;50:0f:80:c0:ce:2e;TUvisitor;-52
1,52061E+12;C12;D1;50:0f:80:e3:79:6e;TUvisitor;-78
1,52061E+12;C12;D1;50:0f:80:fd:84:4e;TUvisitor;-68
1,52061E+12;C12;D1;38:90:a5:8c:93:ee;TUvisitor;-80
1,52061E+12;C12;D1;50:0f:80:c0:ce:2f;eduroam;-57
1,52061E+12;C12;D1;50:0f:80:fd:84:4f;eduroam;-68
1,52061E+12;C12;D1;50:0f:80:c0:ce:2d;tudelft-dastud;-52
1,52061E+12;C12;D1;50:0f:80:c0:ce:2e;TUvisitor;-68
1,52061E+12;C12;D1;50:0f:80:e3:79:6e;TUvisitor;-57
1,52061E+12;C12;D1;50:0f:80:fd:84:4e;TUvisitor;-83
1,52061E+12;C12;D1;38:90:a5:8c:93:ee;TUvisitor;-74
1,52061E+12;C12;D1;50:0f:80:e3:79:6d;tudelft-dastud;-57
1,52061E+12;C12;D1;50:0f:80:e3:79:6f;eduroam;-69
1,52061E+12;C12;D1;38:90:a5:8c:93:ef;eduroam;-73
1,52061E+12;C12;D1;50:0f:80:c0:ce:2f;eduroam;-69
1,52061E+12;C12;D1;50:0f:80:fd:84:4f;eduroam;-83
1,52061E+12;C12;D1;50:0f:80:c0:ce:2d;tudelft-dastud;-66
1,52062E+12;C12;D1;50:0f:80:c0:ce:2e;TUvisitor;-65
1,52062E+12;C12;D1;50:0f:80:e3:79:6e;TUvisitor;-57
1,52062E+12;C12;D1;38:90:a5:8c:93:ee;TUvisitor;-73
1,52062E+12;C12;D1;50:0f:80:e3:79:6d;tudelft-dastud;-57
1,52062E+12;C12;D1;50:0f:80:e3:79:6f;eduroam;-57
1,52062E+12;C12;D1;38:90:a5:8c:93:ef;eduroam;-73
1,52062E+12;C12;D1;50:0f:80:c0:ce:2f;eduroam;-66
1,52062E+12;C12;D1;50:0f:80:fd:84:4f;eduroam;-80
1,52062E+12;C12;D1;50:0f:80:c0:ce:2d;tudelft-dastud;-64
1,52061E+12;C12;D1;50:0f:80:c0:ce:2e;TUvisitor;-65
1,52061E+12;C12;D1;50:0f:80:e3:79:6e;TUvisitor;-58
1,52061E+12;C12;D1;50:0f:80:fd:84:4e;TUvisitor;-81
1,52061E+12;C12;D1;38:90:a5:8c:93:ee;TUvisitor;-73
