TimeStamp, CellandDirection, BSSID, SSID, Strength
1520606342931,C16D1,38:90:a5:37:40:8d,tudelft-dastud, -60
1520606342931,C16D1,38:90:a5:37:42:d0,eduroam, -69
1520606342931,C16D1,50:0f:80:fd:7f:52,tudelft-dastud, -77
1520606342931,C16D1,50:0f:80:c4:5f:6d,tudelft-dastud, -86
1520606342931,C16D1,50:0f:80:c4:5f:6e,TUvisitor, -86
1520606342931,C16D1,38:90:a5:20:e9:0d,tudelft-dastud, -78
1520606342931,C16D1,38:90:a5:37:42:d1,TUvisitor, -70
1520606342931,C16D1,38:90:a5:20:f0:fe,TUvisitor, -85
1520606342931,C16D1,38:90:a5:37:40:80,eduroam, -63
1520606342931,C16D1,38:90:a5:8c:7c:d1,TUvisitor, -67
1520606342931,C16D1,38:90:a5:37:40:8e,TUvisitor, -61
1520606342931,C16D1,50:0f:80:fd:7f:50,eduroam, -78
1520606342931,C16D1,50:0f:80:e3:79:6d,tudelft-dastud, -57
1520606342931,C16D1,50:0f:80:e3:79:62,tudelft-dastud, -60
1520606342931,C16D1,50:0f:80:e3:79:6f,eduroam, -58
1520606342931,C16D1,38:90:a5:9d:0f:31,TUvisitor, -70
1520606342931,C16D1,38:90:a5:8c:7c:d0,eduroam, -72
1520606342931,C16D1,50:0f:80:fd:7f:5f,eduroam, -89
1520606342931,C16D1,50:0f:80:fd:7f:51,TUvisitor, -77
1520606342931,C16D1,38:90:a5:9d:0f:32,tudelft-dastud, -70
1520606342931,C16D1,38:90:a5:37:40:82,tudelft-dastud, -63
1520606342931,C16D1,38:90:a5:8c:93:e1,TUvisitor, -72
1520606342931,C16D1,38:90:a5:37:40:8f,eduroam, -60
1520606342931,C16D1,38:90:a5:8c:7c:d2,tudelft-dastud, -67
1520606342931,C16D1,38:90:a5:20:e9:0f,eduroam, -78
1520606342931,C16D1,38:90:a5:00:09:4f,eduroam, -90
1520606342931,C16D1,38:90:a5:37:42:df,eduroam, -66
1520606342931,C16D1,38:90:a5:8c:93:e2,tudelft-dastud, -73
1520606342931,C16D1,50:0f:80:e3:79:6e,TUvisitor, -58
1520606342931,C16D1,38:90:a5:20:e9:0e,TUvisitor, -78
1520606342931,C16D1,38:90:a5:8c:7c:df,eduroam, -84
1520606342931,C16D1,38:90:a5:20:e9:01,TUvisitor, -60
1520606342931,C16D1,38:90:a5:37:42:d2,tudelft-dastud, -69
1520606342931,C16D1,38:90:a5:91:7f:8e,TUvisitor, -89
1520606342931,C16D1,38:90:a5:8c:7c:de,TUvisitor, -83
1520606342931,C16D1,38:90:a5:37:40:81,TUvisitor, -63
1520606342931,C16D1,38:90:a5:37:42:dd,tudelft-dastud, -67
1520606342931,C16D1,38:90:a5:37:42:de,TUvisitor, -68
1520606342931,C16D1,50:0f:80:c4:5f:6f,eduroam, -85
1520606357953,C16D1,38:90:a5:37:42:d0,eduroam, -79
1520606357953,C16D1,38:90:a5:37:40:8d,tudelft-dastud, -85
1520606357953,C16D1,50:0f:80:fd:7f:52,tudelft-dastud, -64
1520606357953,C16D1,50:0f:80:ee:6d:5e,TUvisitor, -82
1520606357953,C16D1,50:0f:80:c4:5f:6d,tudelft-dastud, -90
1520606357953,C16D1,50:0f:80:c4:5f:60,eduroam, -76
1520606357953,C16D1,50:0f:80:c4:5f:6e,TUvisitor, -88
1520606357953,C16D1,50:0f:80:d8:f3:7d,tudelft-dastud, -90
1520606357953,C16D1,38:90:a5:20:e9:0d,tudelft-dastud, -72
1520606357953,C16D1,38:90:a5:37:42:d1,TUvisitor, -79
1520606357953,C16D1,50:0f:80:c0:ce:20,eduroam, -68
1520606357953,C16D1,38:90:a5:8c:93:e0,eduroam, -78
1520606357953,C16D1,50:0f:80:fd:7f:5d,tudelft-dastud, -79
1520606357953,C16D1,50:0f:80:d8:f3:7e,TUvisitor, -90
1520606357953,C16D1,50:0f:80:fd:7f:50,eduroam, -64
1520606357953,C16D1,50:0f:80:e3:79:6d,tudelft-dastud, -83
1520606357953,C16D1,50:0f:80:e3:79:6f,eduroam, -84
1520606357953,C16D1,50:0f:80:fd:7f:5e,TUvisitor, -79
1520606357953,C16D1,38:90:a5:20:e9:02,tudelft-dastud, -55
1520606357953,C16D1,38:90:a5:20:f0:ff,eduroam, -85
1520606357953,C16D1,50:0f:80:fd:7f:5f,eduroam, -79
1520606357953,C16D1,50:0f:80:fd:7f:51,TUvisitor, -64
1520606357953,C16D1,38:90:a5:20:e9:00,eduroam, -57
1520606357953,C16D1,50:0f:80:ee:6d:5f,eduroam, -83
1520606357953,C16D1,38:90:a5:20:f0:fd,tudelft-dastud, -86
1520606357953,C16D1,50:0f:80:c0:ce:2e,TUvisitor, -80
1520606357953,C16D1,50:0f:80:d8:f3:7f,eduroam, -89
1520606357953,C16D1,38:90:a5:8c:93:e1,TUvisitor, -79
1520606357953,C16D1,50:0f:80:c4:5f:61,TUvisitor, -75
1520606357953,C16D1,50:0f:80:c0:ce:2f,eduroam, -79
1520606357953,C16D1,50:0f:80:ee:6d:5d,tudelft-dastud, -83
1520606357953,C16D1,50:0f:80:c0:ce:21,TUvisitor, -69
1520606357953,C16D1,38:90:a5:20:e9:0f,eduroam, -72
1520606357953,C16D1,38:90:a5:37:42:df,eduroam, -81
1520606357953,C16D1,38:90:a5:8c:93:e2,tudelft-dastud, -79
1520606357953,C16D1,38:90:a5:20:e9:0e,TUvisitor, -72
1520606357953,C16D1,50:0f:80:e3:79:6e,TUvisitor, -84
1520606357953,C16D1,50:0f:80:c0:ce:22,tudelft-dastud, -69
1520606357953,C16D1,38:90:a5:20:e9:01,TUvisitor, -54
1520606357953,C16D1,38:90:a5:37:42:d2,tudelft-dastud, -76
1520606357953,C16D1,50:0f:80:c4:5f:62,tudelft-dastud, -76
1520606357953,C16D1,38:90:a5:37:42:dd,tudelft-dastud, -80
1520606357953,C16D1,38:90:a5:37:42:de,TUvisitor, -82
1520606357953,C16D1,50:0f:80:c4:5f:6f,eduroam, -89
1520606382943,C16D1,38:90:a5:37:42:d0,eduroam, -78
1520606382943,C16D1,50:0f:80:fd:7f:52,tudelft-dastud, -63
1520606382943,C16D1,50:0f:80:ee:6d:5e,TUvisitor, -82
1520606382943,C16D1,50:0f:80:c4:5f:6d,tudelft-dastud, -86
1520606382943,C16D1,50:0f:80:c4:5f:6e,TUvisitor, -87
1520606382943,C16D1,50:0f:80:d8:f3:7d,tudelft-dastud, -89
1520606382943,C16D1,38:90:a5:37:42:d1,TUvisitor, -77
1520606382943,C16D1,38:90:a5:20:f0:fe,TUvisitor, -86
1520606382943,C16D1,50:0f:80:c0:ce:20,eduroam, -72
1520606382943,C16D1,50:0f:80:fd:7f:5d,tudelft-dastud, -79
1520606382943,C16D1,50:0f:80:d8:f3:7e,TUvisitor, -91
1520606382943,C16D1,50:0f:80:fd:7f:50,eduroam, -63
1520606382943,C16D1,50:0f:80:e3:79:6d,tudelft-dastud, -83
1520606382943,C16D1,50:0f:80:e3:79:6f,eduroam, -82
1520606382943,C16D1,50:0f:80:fd:7f:5e,TUvisitor, -79
1520606382943,C16D1,38:90:a5:20:e9:02,tudelft-dastud, -58
1520606382943,C16D1,50:0f:80:fd:7f:51,TUvisitor, -63
1520606382943,C16D1,38:90:a5:20:e9:00,eduroam, -56
1520606382943,C16D1,50:0f:80:ee:6d:5f,eduroam, -82
1520606382943,C16D1,38:90:a5:20:f0:fd,tudelft-dastud, -87
1520606382943,C16D1,50:0f:80:c0:ce:2e,TUvisitor, -81
1520606382943,C16D1,50:0f:80:c0:ce:2f,eduroam, -80
1520606382943,C16D1,50:0f:80:ee:6d:5d,tudelft-dastud, -83
1520606382943,C16D1,50:0f:80:c0:ce:21,TUvisitor, -72
1520606382943,C16D1,50:0f:80:fd:7f:b2,tudelft-dastud, -75
1520606382943,C16D1,38:90:a5:20:e9:0f,eduroam, -74
1520606382943,C16D1,50:0f:80:fd:7f:b1,TUvisitor, -76
1520606382943,C16D1,38:90:a5:37:42:df,eduroam, -82
1520606382943,C16D1,50:0f:80:fd:7f:b0,eduroam, -75
1520606382943,C16D1,50:0f:80:e3:79:6e,TUvisitor, -83
1520606382943,C16D1,50:0f:80:c0:ce:22,tudelft-dastud, -72
1520606382943,C16D1,38:90:a5:20:e9:01,TUvisitor, -58
1520606382943,C16D1,38:90:a5:37:42:dd,tudelft-dastud, -82
1520606382943,C16D1,38:90:a5:37:42:de,TUvisitor, -81
1520606382943,C16D1,50:0f:80:c0:ce:2d,tudelft-dastud, -82
1520606387950,C16D1,38:90:a5:37:42:d0,eduroam, -76
1520606387950,C16D1,50:0f:80:fd:7f:52,tudelft-dastud, -67
1520606387950,C16D1,38:90:a5:20:e9:0d,tudelft-dastud, -70
