TimeStamp, Cell, Direction, BSSID, SSID, Strength 
1522850669961,C5,D3,38:90:a5:37:42:d2,tudelft-dastud, -52
1522850669961,C5,D3,50:0f:80:e3:79:61,TUvisitor, -69
1522850669961,C5,D3,38:90:a5:20:f0:fd,tudelft-dastud, -76
1522850669961,C5,D3,50:0f:80:c0:ce:2e,TUvisitor, -77
1522850669961,C5,D3,50:0f:80:c4:60:0f,eduroam, -90
1522850669961,C5,D3,38:90:a5:37:40:82,tudelft-dastud, -74
1522850669961,C5,D3,38:90:a5:37:40:81,TUvisitor, -74
1522850669961,C5,D3,38:90:a5:37:42:dd,tudelft-dastud, -56
1522850669961,C5,D3,38:90:a5:37:42:de,TUvisitor, -57
1522850669961,C5,D3,38:90:a5:20:f0:f0,eduroam, -79
1522850669961,C5,D3,50:0f:80:c4:5f:6f,eduroam, -87
1522850669961,C5,D3,50:0f:80:c4:60:0e,TUvisitor, -89
1522850669961,C5,D3,50:0f:80:c0:ce:2d,tudelft-dastud, -77
1522850649960,C5,D3,38:90:a5:37:42:d0,eduroam, -56
1522850649960,C5,D3,38:90:a5:37:40:8d,tudelft-dastud, -81
1522850649960,C5,D3,50:0f:80:ee:6d:5e,TUvisitor, -72
1522850649960,C5,D3,50:0f:80:c4:5f:6d,tudelft-dastud, -87
1522850649960,C5,D3,50:0f:80:c4:5f:6e,TUvisitor, -89
1522850649960,C5,D3,38:90:a5:20:e9:0d,tudelft-dastud, -65
1522850649960,C5,D3,38:90:a5:37:42:d1,TUvisitor, -56
1522850649960,C5,D3,38:90:a5:20:f0:fe,TUvisitor, -71
1522850649960,C5,D3,50:0f:80:c0:ce:20,eduroam, -79
1522850649960,C5,D3,50:0f:80:c4:60:0d,tudelft-dastud, -90
1522850649960,C5,D3,50:0f:80:fd:7f:5d,tudelft-dastud, -88
1522850649960,C5,D3,38:90:a5:37:40:8e,TUvisitor, -81
1522850649960,C5,D3,50:0f:80:e3:79:62,tudelft-dastud, -68
1522850649960,C5,D3,50:0f:80:fd:7f:bf,eduroam, -79
1522850649960,C5,D3,50:0f:80:fd:7f:5e,TUvisitor, -88
1522850649960,C5,D3,38:90:a5:20:e9:02,tudelft-dastud, -61
1522850649960,C5,D3,38:90:a5:20:f0:ff,eduroam, -72
1522850649960,C5,D3,50:0f:80:fd:7f:5f,eduroam, -88
1522850649960,C5,D3,38:90:a5:20:e9:00,eduroam, -61
1522850649960,C5,D3,50:0f:80:fd:7f:be,TUvisitor, -80
1522850649960,C5,D3,38:90:a5:20:f0:fd,tudelft-dastud, -73
1522850649960,C5,D3,50:0f:80:c0:ce:2e,TUvisitor, -74
1522850649960,C5,D3,50:0f:80:e3:79:60,eduroam, -68
1522850649960,C5,D3,50:0f:80:ee:6d:51,TUvisitor, -64
1522850649960,C5,D3,c8:e0:eb:18:89:a3,Thuis ;), -54
1522850649960,C5,D3,38:90:a5:37:40:8f,eduroam, -81
1522850649960,C5,D3,50:0f:80:c0:ce:2f,eduroam, -74
1522850649960,C5,D3,50:0f:80:c0:ce:21,TUvisitor, -77
1522850649960,C5,D3,38:90:a5:20:e9:0f,eduroam, -66
1522850649960,C5,D3,50:0f:80:ee:6d:50,eduroam, -65
1522850649960,C5,D3,08:57:00:5b:1c:bc,TPL, -61
1522850649960,C5,D3,38:90:a5:91:74:1e,TUvisitor, -81
1522850649960,C5,D3,38:90:a5:37:42:df,eduroam, -54
1522850649960,C5,D3,5c:96:9d:65:76:8e,SLDE-™-2 5GHz, -84
1522850649960,C5,D3,50:0f:80:ee:6d:52,tudelft-dastud, -64
1522850649960,C5,D3,38:90:a5:20:e9:0e,TUvisitor, -65
1522850649960,C5,D3,50:0f:80:c0:ce:22,tudelft-dastud, -79
1522850649960,C5,D3,e0:3f:49:09:d9:98,TRIBLER, -88
1522850649960,C5,D3,38:90:a5:91:74:12,tudelft-dastud, -70
1522850649960,C5,D3,38:90:a5:20:e9:01,TUvisitor, -61
1522850649960,C5,D3,38:90:a5:37:42:d2,tudelft-dastud, -56
1522850649960,C5,D3,50:0f:80:e3:79:61,TUvisitor, -68
1522850649960,C5,D3,50:0f:80:c4:60:0f,eduroam, -89
1522850649960,C5,D3,38:90:a5:91:74:11,TUvisitor, -70
1522850649960,C5,D3,38:90:a5:37:40:81,TUvisitor, -73
1522850649960,C5,D3,38:90:a5:37:42:dd,tudelft-dastud, -56
1522850649960,C5,D3,38:90:a5:37:42:de,TUvisitor, -56
1522850649960,C5,D3,50:0f:80:c4:5f:6f,eduroam, -87
1522850649960,C5,D3,50:0f:80:c4:60:0e,TUvisitor, -89
1522850649960,C5,D3,50:0f:80:c0:ce:2d,tudelft-dastud, -74
1522850659961,C5,D3,38:90:a5:37:42:d0,eduroam, -54
1522850659961,C5,D3,38:90:a5:37:40:8d,tudelft-dastud, -83
1522850659961,C5,D3,50:0f:80:c4:5f:6d,tudelft-dastud, -86
1522850659961,C5,D3,50:0f:80:c4:5f:6e,TUvisitor, -88
1522850659961,C5,D3,38:90:a5:20:e9:0d,tudelft-dastud, -64
1522850659961,C5,D3,38:90:a5:37:42:d1,TUvisitor, -53
1522850659961,C5,D3,38:90:a5:20:f0:fe,TUvisitor, -74
1522850659961,C5,D3,50:0f:80:c0:ce:20,eduroam, -80
1522850659961,C5,D3,50:0f:80:c4:60:0d,tudelft-dastud, -89
1522850659961,C5,D3,38:90:a5:37:40:8e,TUvisitor, -83
1522850659961,C5,D3,50:0f:80:e3:79:62,tudelft-dastud, -69
1522850659961,C5,D3,50:0f:80:e3:79:6d,tudelft-dastud, -76
1522850659961,C5,D3,38:90:a5:91:74:1d,tudelft-dastud, -84
1522850659961,C5,D3,50:0f:80:fd:7f:bd,tudelft-dastud, -85
1522850659961,C5,D3,38:90:a5:20:e9:02,tudelft-dastud, -62
1522850659961,C5,D3,38:90:a5:20:f0:ff,eduroam, -74
1522850659961,C5,D3,50:0f:80:fd:7f:5f,eduroam, -90
1522850659961,C5,D3,5c:96:9d:65:76:8d,SLDE-™-2, -85
1522850659961,C5,D3,38:90:a5:20:e9:00,eduroam, -62
1522850659961,C5,D3,50:0f:80:ee:6d:5f,eduroam, -76
1522850659961,C5,D3,38:90:a5:20:f0:fd,tudelft-dastud, -73
1522850659961,C5,D3,50:0f:80:c0:ce:2e,TUvisitor, -78
1522850659961,C5,D3,50:0f:80:e3:79:60,eduroam, -66
1522850659961,C5,D3,50:0f:80:ee:6d:51,TUvisitor, -63
1522850659961,C5,D3,38:90:a5:20:f0:f1,TUvisitor, -77
1522850659961,C5,D3,c8:e0:eb:18:89:a3,Thuis ;), -50
1522850659961,C5,D3,38:90:a5:37:40:8f,eduroam, -82
1522850659961,C5,D3,50:0f:80:c0:ce:2f,eduroam, -80
1522850659961,C5,D3,50:0f:80:c4:5f:61,TUvisitor, -81
1522850659961,C5,D3,50:0f:80:c0:ce:21,TUvisitor, -80
1522850659961,C5,D3,38:90:a5:20:e9:0f,eduroam, -64
1522850659961,C5,D3,50:0f:80:ee:6d:50,eduroam, -63
1522850659961,C5,D3,50:0f:80:fd:7f:b1,TUvisitor, -79
1522850659961,C5,D3,08:57:00:5b:1c:bc,TPL, -65
1522850659961,C5,D3,38:90:a5:91:74:1e,TUvisitor, -84
1522850659961,C5,D3,38:90:a5:37:42:df,eduroam, -57
1522850659961,C5,D3,5c:96:9d:65:76:8e,SLDE-™-2 5GHz, -81
1522850659961,C5,D3,50:0f:80:ee:6d:52,tudelft-dastud, -62
1522850659961,C5,D3,38:90:a5:20:e9:0e,TUvisitor, -64
1522850659961,C5,D3,50:0f:80:c0:ce:22,tudelft-dastud, -80
1522850659961,C5,D3,e0:3f:49:09:d9:98,TRIBLER, -87
1522850659961,C5,D3,38:90:a5:20:e9:01,TUvisitor, -62
1522850659961,C5,D3,38:90:a5:37:42:d2,tudelft-dastud, -53
1522850659961,C5,D3,50:0f:80:e3:79:61,TUvisitor, -69
1522850659961,C5,D3,50:0f:80:c4:60:0f,eduroam, -89
1522850659961,C5,D3,38:90:a5:37:42:dd,tudelft-dastud, -56
